n,prime,chi5,S_n,is_tie,gap_to_next_tie
4014,81701,1,7,False,
4015,81707,-1,6,False,
4016,81737,-1,5,False,
4017,81749,1,6,False,
4018,81761,1,7,False,
4019,81773,-1,6,False,
4020,81839,1,7,False,
4021,81869,1,8,False,
4022,81899,1,9,False,
4023,81929,1,10,False,
4024,81953,-1,9,False,
4025,81971,1,10,False,
4026,82007,-1,9,False,
4027,82013,-1,8,False,
4028,82031,1,9,False,
4029,82037,-1,8,False,
4030,82067,-1,7,False,
4031,82073,-1,6,False,
4032,82139,1,7,False,
4033,82163,-1,6,False,
4034,82193,-1,5,False,
4035,82217,-1,4,False,
4036,82223,-1,3,False,
4037,82241,1,4,False,
4038,82301,1,5,False,
4039,82307,-1,4,False,
4040,82349,1,5,False,
4041,82361,1,6,False,
4042,82373,-1,5,False,
4043,82421,1,6,False,
4044,82457,-1,5,False,
4045,82463,-1,4,False,
4046,82469,1,5,False,
4047,82487,-1,4,False,
4048,82493,-1,3,False,
4049,82499,1,4,False,
4050,82529,1,5,False,
4051,82559,1,6,False,
4052,82571,1,7,False,
4053,82601,1,8,False,
4054,82613,-1,7,False,
4055,82619,1,8,False,
4056,82721,1,9,False,
4057,82727,-1,8,False,
4058,82757,-1,7,False,
4059,82763,-1,6,False,
4060,82781,1,7,False,
4061,82787,-1,6,False,
4062,82793,-1,5,False,
4063,82799,1,6,False,
4064,82811,1,7,False,
4065,82847,-1,6,False,
4066,82883,-1,5,False,
4067,82889,1,6,False,
4068,82913,-1,5,False,
4069,82997,-1,4,False,
4070,83003,-1,3,False,
4071,83009,1,4,False,
4072,83063,-1,3,False,
4073,83093,-1,2,False,
4074,83117,-1,1,False,
4075,83177,-1,0,True,2
4076,83207,-1,-1,False,
4077,83219,1,0,True,2
4078,83231,1,1,False,
4079,83243,-1,0,True,14
4080,83267,-1,-1,False,
4081,83273,-1,-2,False,
4082,83339,1,-1,False,
4083,83357,-1,-2,False,
4084,83399,1,-1,False,
4085,83417,-1,-2,False,
4086,83423,-1,-3,False,
4087,83459,1,-2,False,
4088,83471,1,-1,False,
4089,83477,-1,-2,False,
4090,83537,-1,-3,False,
4091,83561,1,-2,False,
4092,83579,1,-1,False,
4093,83591,1,0,True,2
4094,83597,-1,-1,False,
4095,83609,1,0,True,4
4096,83621,1,1,False,
4097,83639,1,2,False,
4098,83663,-1,1,False,
4099,83717,-1,0,True,24
4100,83777,-1,-1,False,
4101,83813,-1,-2,False,
4102,83843,-1,-3,False,
4103,83873,-1,-4,False,
4104,83891,1,-3,False,
4105,83903,-1,-4,False,
4106,83921,1,-3,False,
4107,83933,-1,-4,False,
4108,83939,1,-3,False,
4109,83969,1,-2,False,
4110,83987,-1,-3,False,
4111,84011,1,-2,False,
4112,84017,-1,-3,False,
4113,84047,-1,-4,False,
4114,84053,-1,-5,False,
4115,84059,1,-4,False,
4116,84089,1,-3,False,
4117,84131,1,-2,False,
4118,84137,-1,-3,False,
4119,84143,-1,-4,False,
4120,84179,1,-3,False,
4121,84191,1,-2,False,
4122,84221,1,-1,False,
4123,84239,1,0,True,2
4124,84263,-1,-1,False,
4125,84299,1,0,True,20
4126,84317,-1,-1,False,
4127,84347,-1,-2,False,
4128,84377,-1,-3,False,
4129,84389,1,-2,False,
4130,84401,1,-1,False,
4131,84407,-1,-2,False,
4132,84431,1,-1,False,
4133,84437,-1,-2,False,
4134,84443,-1,-3,False,
4135,84449,1,-2,False,
4136,84467,-1,-3,False,
4137,84503,-1,-4,False,
4138,84509,1,-3,False,
4139,84521,1,-2,False,
4140,84533,-1,-3,False,
4141,84551,1,-2,False,
4142,84629,1,-1,False,
4143,84653,-1,-2,False,
4144,84659,1,-1,False,
4145,84701,1,0,True,2
