mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
22,13,69,14,0
30,29,23,2,37
54,67,49,37,94
15,58,26,104,70
1,159,147,71,2
55,0,83,48,13
98,9,19,4,16
77,14,27,1,26
66,4,35,36,13
43,96,31,17,8
53,1,69,19,29
11,47,27,37,14
17,83,57,14,3
7,36,7,2,3
16,50,52,6,3
159,81,28,5,48
49,82,43,37,5
12,44,50,41,15
1,4,135,83,37
72,5,68,86,108
97,48,1,1,51
40,104,97,19,5
92,0,8,23,2
102,6,80,15,15
98,74,19,14,28
10,104,29,40,32
70,1,3,14,19
38,28,55,36,31
119,8,3,52,0
35,97,33,6,9
87,5,26,37,110
37,6,1,26,45
61,73,2,18,13
6,59,24,93,7
90,30,63,111,40
80,27,27,95,4
9,13,23,51,85
131,5,66,83,22
88,77,27,4,0
6,62,34,3,8
29,5,107,0,2
9,19,7,18,5
22,89,3,16,52
77,33,46,6,20
20,30,39,2,15
61,20,27,2,18
81,28,30,8,23
125,69,71,7,48
33,12,71,16,42
92,88,81,32,13
36,4,135,61,45
137,37,19,25,2
11,27,42,1,3
39,41,93,33,21
76,1,8,38,35
136,96,120,15,90
97,171,95,47,40
173,96,19,71,7
35,82,19,10,13
12,126,59,53,0
63,25,78,0,83
6,2,16,72,11
15,13,22,43,43
43,71,10,20,25
78,57,14,82,2
12,12,80,22,86
32,87,95,31,7
29,2,68,16,33
25,3,13,166,170
42,2,2,51,67
7,5,71,23,68
94,41,13,21,132
69,31,44,85,22
26,54,0,56,88
82,34,13,93,1
214,67,85,78,39
16,37,0,84,11
1,56,7,7,15
20,20,4,5,4
0,9,3,3,11
25,91,12,34,28
85,23,33,42,28
28,23,32,111,100
5,72,29,11,19
30,80,40,91,100
65,84,38,5,49
11,28,20,58,25
7,44,4,4,3
37,75,39,85,43
34,3,10,19,53
42,111,39,78,25
58,27,43,89,51
59,64,28,2,67
96,88,35,43,0
31,58,22,114,22
43,11,10,48,26
11,70,105,26,149
18,4,76,23,48
14,38,62,15,6
28,119,21,9,28
68,17,25,21,15
121,13,39,11,10
130,65,6,32,15
168,19,14,14,3
45,112,13,98,6
7,128,19,11,7
14,21,77,14,18
8,3,95,68,27
8,20,38,5,60
58,50,14,71,52
28,183,1,92,29
11,176,16,30,2
24,7,132,2,17
63,91,22,58,24
80,57,80,4,12
30,82,9,94,2
86,11,123,97,18
103,39,4,21,10
23,101,105,50,7
54,36,63,22,80
46,3,64,8,92
52,60,25,16,100
55,49,62,16,27
46,55,29,5,7
11,12,90,23,123
84,28,3,5,59
33,77,71,12,13
0,65,95,56,22
25,46,20,42,27
7,8,23,14,8
104,21,1,28,72
50,23,26,43,35
64,29,76,24,27
137,138,63,4,90
2,71,37,18,5
39,44,76,33,119
4,6,92,7,16
68,57,7,0,12
29,10,0,26,23
54,43,32,10,75
85,23,87,60,25
26,14,31,23,9
49,58,18,4,48
42,42,90,16,18
16,16,38,7,63
69,11,58,35,24
80,20,107,20,86
16,111,92,14,16
35,0,59,42,5
91,6,119,20,21
90,89,0,65,21
164,67,49,46,95
109,16,6,127,0
60,37,39,47,37
20,49,64,3,16
161,91,37,35,37
52,2,32,44,30
49,3,6,9,25
26,59,46,85,36
55,18,32,0,3
39,64,8,19,3
10,1,81,16,22
56,41,20,77,7
2,34,60,1,72
18,23,163,9,38
82,34,19,65,1
58,21,56,9,14
78,62,19,13,3
34,52,1,8,66
12,77,18,1,18
87,12,64,50,17
76,45,48,1,48
27,28,46,6,2
78,93,80,10,22
49,77,43,12,95
102,43,141,110,1
49,8,54,139,6
7,10,31,15,14
21,33,85,23,0
40,17,17,5,5
85,30,40,20,45
39,48,39,75,35
12,30,43,29,2
39,83,51,7,34
104,29,128,17,9
15,69,2,44,10
39,45,1,84,53
34,26,21,20,10
12,73,62,10,8
42,16,1,23,21
144,27,0,33,2
65,27,23,2,13
14,12,86,25,45
169,9,19,40,25
66,129,32,18,100
60,55,3,66,61
21,13,27,26,1
25,31,72,31,50
14,8,22,10,13
4,9,94,12,2
63,35,21,27,1
97,113,6,81,67
22,5,32,19,85
30,45,37,45,20
13,25,0,3,12
22,39,61,32,4
13,10,20,78,6
12,52,25,28,9
65,26,126,1,46
8,9,21,28,10
99,23,105,13,4
62,11,51,6,17
1,28,36,12,23
119,92,46,61,7
15,47,24,47,103
112,82,40,69,8
55,124,63,7,0
25,51,12,74,68
60,17,4,50,8
18,60,74,8,22
104,6,52,65,106
17,0,10,35,66
68,38,46,0,76
27,14,53,135,12
21,44,39,56,85
31,12,41,12,16
15,15,66,29,33
0,23,26,7,16
0,32,66,0,60
6,30,43,12,19
32,89,28,29,5
71,2,45,63,43
2,17,115,17,22
26,1,41,0,31
12,88,71,7,8
136,27,26,27,9
29,18,55,53,42
107,28,15,20,16
86,87,36,22,21
15,6,36,65,10
92,12,32,5,15
16,41,4,35,76
22,24,22,8,138
57,18,31,2,163
1,32,50,35,1
0,34,4,25,8
63,20,13,42,15
3,16,84,134,22
50,25,57,44,64
79,39,28,9,32
