mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
11,0,3,80,9
61,34,10,11,33
92,186,0,51,17
127,5,93,63,72
73,78,101,30,53
94,21,6,10,33
0,11,0,47,25
37,31,48,75,27
49,3,107,112,6
12,23,16,17,49
63,40,47,52,0
62,5,115,16,4
67,3,19,45,40
40,46,56,49,20
138,4,7,24,36
51,8,2,32,48
37,33,7,8,84
15,0,43,5,25
17,72,26,27,130
66,57,65,2,36
10,33,95,80,11
28,4,6,5,31
13,107,80,5,34
88,56,4,6,17
82,12,97,16,20
45,121,10,15,15
16,1,67,2,12
1,27,12,13,86
55,9,51,33,51
3,1,39,8,23
6,5,23,13,25
18,51,7,45,56
6,41,48,5,28
47,70,22,2,100
21,1,12,75,85
53,34,115,10,21
36,107,35,9,92
25,4,63,2,53
9,71,7,114,3
137,7,69,138,4
92,8,39,28,30
44,10,61,20,76
56,31,43,15,46
13,33,10,0,40
29,6,83,33,4
47,50,43,73,36
107,18,31,43,38
21,27,47,2,10
51,13,28,16,19
45,42,97,17,27
31,111,54,4,21
14,32,48,47,2
20,18,58,51,19
78,79,10,26,78
37,16,77,8,1
103,2,13,95,12
62,9,153,42,57
2,7,4,107,29
51,28,57,40,53
8,3,4,3,43
21,5,34,5,13
25,81,14,9,3
40,50,3,33,16
128,84,0,130,17
0,24,88,31,50
56,8,100,13,118
30,6,14,63,10
218,25,141,29,28
27,9,44,64,47
29,3,48,12,105
41,8,3,17,31
44,22,67,37,5
166,84,19,12,32
85,34,4,83,2
8,12,21,36,28
29,11,17,74,17
140,7,19,5,25
37,66,47,18,22
23,162,5,17,28
103,54,6,18,15
129,18,35,2,26
16,195,12,123,6
64,36,53,92,91
18,88,15,18,21
30,11,7,22,14
71,66,145,91,6
15,50,58,54,16
28,91,18,27,7
38,66,8,29,76
118,37,16,41,47
39,15,72,14,33
23,99,54,22,0
35,65,16,7,13
34,0,79,6,6
54,12,31,37,38
112,85,27,29,55
70,15,15,6,4
61,12,20,7,14
10,86,3,24,15
28,29,13,47,1
20,59,44,73,22
54,36,78,84,36
90,44,11,19,2
63,0,59,25,73
0,62,59,27,54
13,25,20,71,51
84,27,142,4,17
0,73,72,33,234
0,67,72,3,4
34,22,83,15,35
9,70,0,2,10
72,0,6,4,123
43,152,53,46,91
19,45,64,100,13
83,118,30,16,12
37,21,21,13,0
85,125,61,89,7
6,50,37,13,20
66,115,3,76,29
7,24,54,73,14
112,8,36,31,0
0,115,56,147,124
37,23,3,64,30
10,173,3,20,11
205,13,46,59,203
61,19,9,58,45
22,126,121,12,3
102,41,36,99,59
34,5,45,64,14
148,58,14,65,8
34,54,34,28,0
36,77,21,0,30
27,112,44,34,0
13,112,82,56,6
18,41,73,36,37
115,138,1,39,41
35,19,9,16,6
28,8,29,14,14
81,35,39,8,25
125,7,18,47,92
23,97,33,14,38
0,34,2,82,65
49,28,25,50,36
36,26,8,68,102
36,52,48,18,11
9,3,21,3,40
98,19,4,46,41
140,0,63,93,6
20,4,2,6,36
87,21,0,6,10
38,79,0,59,20
50,2,65,51,7
0,49,52,21,11
55,3,32,65,36
19,72,46,166,5
28,1,30,63,0
31,8,12,7,0
84,27,9,33,30
11,6,54,23,35
192,16,132,0,77
68,51,12,11,31
1,4,105,2,48
36,107,22,54,45
1,56,134,12,12
35,23,49,27,23
1,82,27,8,2
71,32,27,23,3
39,10,10,0,0
29,33,5,56,23
73,42,22,26,20
6,43,57,2,25
112,156,25,5,4
113,57,12,1,5
76,80,124,8,47
19,146,90,10,5
42,34,98,71,57
33,123,12,138,18
42,0,38,75,93
53,51,18,1,104
50,13,18,1,127
43,14,66,6,2
23,19,97,32,10
103,36,144,21,1
32,26,15,27,28
54,58,11,60,4
60,31,18,53,7
41,86,2,31,72
59,77,92,83,19
1,23,5,62,126
34,53,1,75,13
193,126,60,41,30
145,47,79,10,9
86,31,36,32,22
6,10,53,28,32
76,5,60,2,13
113,50,49,25,132
154,102,22,20,37
145,73,59,46,9
55,26,48,47,24
14,75,104,55,11
3,26,51,14,14
19,7,24,53,4
75,0,12,7,111
48,9,47,158,44
15,54,27,28,9
109,3,31,31,50
51,30,4,69,3
56,6,4,28,2
87,42,50,37,169
84,98,11,35,47
42,25,17,33,13
59,74,6,13,27
65,152,16,33,29
62,5,42,2,6
2,15,28,32,28
82,110,34,26,37
49,70,11,23,29
42,63,76,57,16
29,129,2,82,17
114,95,25,8,11
23,49,33,73,0
18,51,20,19,67
14,62,23,30,55
15,1,61,45,6
10,100,131,11,51
1,57,37,11,6
26,134,17,12,1
20,71,15,45,70
25,91,47,31,24
11,155,26,66,14
67,5,20,0,14
49,47,22,134,32
24,49,1,42,75
175,32,62,20,79
135,64,8,0,29
56,1,18,14,15
61,122,17,21,13
7,36,3,3,69
36,6,78,1,17
25,1,68,58,4
28,28,80,30,7
22,104,111,75,1
31,56,0,1,70
37,59,0,37,41
85,1,60,16,47
1,179,2,80,75
1,7,14,59,4
13,4,61,40,29
6,86,63,161,5
141,3,61,46,25
35,81,56,3,82
83,99,12,97,125
14,48,1,89,87
36,9,17,75,44
74,66,21,15,21
155,11,40,30,1
30,30,48,19,76
32,40,58,7,0
24,78,34,54,8
107,18,27,14,0
73,25,41,40,15
57,11,14,0,1
45,19,132,78,33
26,53,109,18,42
125,72,2,78,19
72,21,31,19,66
2,82,11,98,6
110,6,48,28,11
6,8,24,27,22
27,0,56,6,142
36,14,96,53,14
52,39,143,10,6
47,69,18,34,28
5,90,14,14,33
20,93,80,46,12
60,27,62,8,3
79,10,13,42,2
37,105,60,13,35
107,31,27,2,23
76,56,14,97,37
48,26,65,17,5
125,43,103,15,14
2,101,37,84,37
7,91,78,155,27
0,22,79,5,57
35,23,54,21,65
97,1,12,70,83
21,58,68,25,19
104,8,75,37,8
5,3,16,9,12
6,9,30,80,70
32,31,25,23,44
59,59,27,0,115
73,39,44,0,3
205,5,16,1,33
8,35,45,15,17
98,74,31,28,21
33,64,31,69,23
31,25,38,66,45
62,53,9,29,3
64,27,45,111,8
11,25,12,50,27
54,24,13,64,94
17,125,59,30,38
18,94,44,6,43
11,57,42,33,38
52,15,54,33,25
160,103,61,27,12
60,3,6,4,53
115,159,114,1,0
84,20,84,82,41
67,45,35,1,50
18,56,10,140,8
4,154,74,15,56
6,10,72,0,37
36,76,5,46,71
48,40,39,30,28
21,23,6,15,92
38,27,94,13,13
58,37,82,119,69
94,143,8,28,0
8,16,8,43,38
105,17,32,34,28
34,57,50,15,45
17,22,16,94,64
76,49,25,11,127
78,91,23,103,60
36,1,70,7,89
90,1,53,8,32
108,86,4,16,3
3,78,60,46,8
39,29,35,4,3
22,19,6,9,82
143,93,12,3,13
38,76,22,11,37
121,14,82,53,45
12,34,38,21,1
109,114,36,34,17
20,54,12,24,51
32,99,115,11,89
123,47,4,0,34
19,47,43,7,20
79,77,39,100,0
144,148,16,72,41
121,26,19,39,8
9,36,13,8,71
15,32,47,23,131
112,40,71,16,22
85,50,1,8,6
34,50,1,69,17
40,13,1,14,21
76,39,55,75,16
76,48,2,59,29
47,0,41,138,93
42,3,53,1,6
76,143,6,27,7
40,125,24,34,13
105,179,2,2,48
6,48,16,5,62
9,59,22,44,45
29,1,74,58,25
33,5,7,39,21
20,8,41,120,11
21,111,14,75,73
26,13,30,3,47
95,80,17,10,49
40,84,42,78,13
29,16,63,40,49
61,49,50,9,3
16,43,7,73,33
80,80,63,71,0
77,20,31,20,10
72,48,21,0,1
51,38,46,51,27
17,16,15,7,0
21,56,11,62,13
94,118,58,51,19
81,81,31,8,81
65,69,82,2,71
31,38,22,75,0
67,11,99,21,38
15,2,71,39,0
39,105,30,55,35
70,11,6,20,31
69,9,4,77,2
12,5,108,11,32
5,157,64,7,87
151,77,5,31,14
76,37,22,4,15
25,132,35,56,24
35,53,62,3,2
21,99,22,16,95
62,1,0,54,0
127,29,1,32,28
49,23,87,10,54
13,33,44,39,10
93,50,8,173,16
97,21,4,11,41
44,55,23,1,30
25,7,50,95,7
19,98,10,4,54
172,120,13,14,23
2,4,110,68,41
58,15,121,9,13
38,76,0,44,9
18,98,35,13,2
17,49,76,32,0
11,56,0,40,17
30,5,3,14,4
87,38,20,14,47
36,126,16,97,96
38,32,0,72,16
78,5,11,56,5
35,38,2,66,3
25,19,52,36,27
114,126,22,61,82
28,1,56,62,103
8,90,13,43,1
3,106,6,97,16
13,145,15,30,2
3,37,20,17,21
41,70,10,5,43
8,30,112,43,123
92,170,38,5,24
44,16,32,60,19
34,49,3,12,32
37,3,8,67,13
12,94,16,7,20
15,122,0,67,17
98,76,82,17,72
6,43,132,51,58
88,51,20,16,30
52,4,2,72,26
11,27,7,33,52
52,29,24,93,1
52,5,58,1,38
127,27,70,54,13
22,24,114,9,16
38,80,54,3,24
50,6,21,51,10
72,182,9,2,50
135,56,92,78,28
127,11,20,38,15
131,13,12,58,64
27,0,26,42,77
61,21,76,2,6
54,100,46,96,9
19,34,35,43,5
16,52,15,17,33
3,24,68,38,8
30,48,91,3,13
6,5,79,12,43
118,74,21,2,72
64,114,1,6,0
82,92,89,14,1
25,23,3,72,12
102,3,56,21,54
18,16,49,52,19
26,12,43,1,47
116,2,3,41,6
129,95,91,76,54
4,1,11,22,6
68,77,9,51,4
77,102,7,31,18
61,135,170,40,73
13,31,41,22,78
47,24,9,13,14
56,19,21,97,73
94,52,63,13,124
56,9,38,40,83
7,34,37,99,19
93,138,21,4,55
38,2,145,15,74
39,119,103,203,61
30,72,68,7,6
70,75,13,31,12
40,43,54,5,11
14,4,37,28,28
120,22,52,12,59
90,74,46,70,38
42,57,9,1,3
11,28,26,6,60
70,126,68,8,51
22,14,95,10,7
73,10,24,2,1
9,11,30,15,2
50,28,64,32,13
72,17,13,17,10
106,85,40,16,47
20,82,35,7,123
115,82,80,34,197
0,41,40,70,65
9,1,10,18,27
53,99,17,72,28
141,30,55,13,22
43,4,68,12,33
27,21,14,96,35
48,36,5,149,33
1,54,19,95,22
30,63,146,64,12
88,27,115,43,44
23,45,22,10,23
71,3,29,31,3
75,17,7,38,3
49,0,48,41,17
66,51,21,32,76
28,40,57,15,45
5,9,9,19,10
56,80,10,24,2
110,20,4,19,38
14,14,68,140,2
71,57,33,105,24
26,21,114,86,47
137,40,44,122,16
52,7,132,8,37
35,54,16,2,30
74,62,32,25,10
63,57,4,20,39
85,118,17,3,67
12,7,75,14,4
82,32,0,17,22
20,57,75,25,28
1,1,0,8,24
1,2,88,57,21
13,4,0,8,52
19,54,4,0,15
25,12,38,111,29
64,47,30,38,21
27,4,11,23,7
30,50,83,43,83
48,5,62,11,18
4,32,145,2,19
17,36,15,6,5
23,73,78,71,88
13,31,12,44,58
36,6,12,20,15
69,25,9,10,8
79,110,28,52,19
73,51,20,2,36
80,9,19,18,8
51,40,34,22,32
45,84,0,0,24
7,32,25,10,23
38,39,40,69,11
21,22,87,20,58
104,25,5,8,12
100,17,55,25,86
62,14,27,106,0
20,6,127,43,115
144,96,3,15,77
60,88,32,66,92
21,38,58,33,1
77,85,52,40,40
81,13,31,152,79
100,17,32,2,8
39,85,7,11,25
15,8,87,80,56
2,11,102,25,66
73,61,49,0,21
75,49,9,1,2
58,33,26,5,2
24,25,5,58,54
37,55,6,4,21
14,22,100,6,52
79,14,104,52,30
50,26,48,12,27
47,38,10,28,10
5,22,46,117,5
11,138,22,8,80
30,13,5,9,33
10,37,2,30,51
0,15,8,17,73
20,21,3,0,26
114,145,0,24,43
76,54,67,23,7
42,2,31,37,41
43,52,110,60,8
7,139,26,16,21
23,40,66,80,0
13,5,14,73,23
80,113,45,63,60
9,19,42,65,15
76,19,7,7,1
84,14,134,112,16
87,64,44,6,8
45,10,0,83,59
91,72,44,18,73
24,1,28,3,10
15,44,129,51,26
65,72,14,45,0
66,41,146,53,24
0,3,62,50,3
5,25,47,10,21
28,133,6,8,8
58,52,4,30,54
73,30,75,40,103
104,3,77,9,20
48,27,13,2,16
69,58,116,76,32
48,70,1,32,1
50,56,83,3,5
64,120,19,52,55
8,38,27,164,5
34,42,9,104,56
56,12,76,7,82
19,14,40,17,4
45,2,10,147,2
33,47,0,47,11
29,1,2,119,0
27,22,17,12,28
10,39,46,5,4
42,100,19,1,25
92,44,23,2,2
75,13,13,3,9
53,3,7,69,53
61,126,103,121,23
56,16,14,37,38
10,73,7,16,9
33,3,10,90,31
22,90,17,3,15
15,12,3,55,12
17,24,44,26,37
37,108,114,1,24
32,9,47,164,86
29,95,73,30,2
87,20,53,29,50
108,35,6,42,28
14,29,40,12,9
19,80,40,37,16
1,7,46,45,26
7,39,26,57,83
4,10,35,155,15
144,123,62,56,91
57,40,0,11,5
142,14,105,27,27
12,30,64,2,6
35,27,12,16,8
82,7,22,26,21
139,12,48,203,65
70,25,71,11,4
114,50,67,35,107
50,128,82,33,0
79,75,14,2,3
30,29,39,15,20
42,33,23,63,20
61,20,29,89,7
25,15,18,21,2
67,48,5,43,6
45,4,1,86,110
15,44,55,177,111
2,21,13,35,17
91,68,15,3,37
27,168,17,35,68
58,81,16,13,6
3,12,4,49,29
13,17,68,87,22
4,22,49,68,17
30,64,14,7,5
64,67,25,43,5
75,39,8,78,0
28,68,42,19,15
23,51,48,9,81
74,19,0,7,34
10,70,9,40,14
24,59,21,1,4
80,44,85,99,41
22,36,13,9,18
96,119,29,10,10
27,133,42,72,19
71,1,39,5,30
82,1,0,6,33
9,92,39,22,9
70,20,91,53,6
65,26,67,76,57
113,0,39,51,41
110,88,11,27,65
75,93,40,28,10
110,58,29,73,10
100,58,40,9,70
82,52,14,12,35
33,30,87,52,43
72,15,18,52,34
9,45,102,62,11
10,38,117,12,10
120,0,54,22,27
9,6,140,69,33
16,35,57,30,51
47,10,79,23,89
8,24,21,51,23
24,62,29,80,116
9,130,78,34,2
9,20,33,5,42
15,50,19,4,16
20,35,16,101,30
138,139,66,85,19
12,15,23,53,73
25,105,44,12,4
108,68,12,6,40
12,87,52,9,106
105,54,105,42,32
58,44,42,13,29
62,86,11,34,25
81,52,13,58,3
39,139,47,54,6
95,73,34,42,6
83,6,73,17,70
22,31,8,12,19
89,12,46,51,41
30,7,34,37,16
36,41,70,77,14
51,86,30,29,22
101,37,25,46,14
43,32,48,0,2
12,31,12,21,37
135,179,49,6,18
11,4,1,7,77
40,13,27,42,92
26,4,2,57,50
35,8,75,38,59
38,22,30,15,42
38,114,91,0,0
2,39,43,67,2
10,45,33,74,26
1,6,0,8,12
129,132,21,7,70
169,69,40,72,6
55,3,25,103,4
7,35,66,17,25
11,27,43,7,29
9,27,52,125,18
99,23,7,71,40
6,41,9,29,36
97,41,47,19,0
85,120,59,16,43
39,6,31,13,66
75,26,67,31,0
35,5,77,12,2
19,6,5,11,33
33,22,86,13,27
178,34,66,43,5
11,9,75,8,6
79,167,13,14,15
95,4,143,6,24
46,16,3,86,60
47,59,6,24,25
27,20,61,27,52
4,18,19,23,6
88,62,21,24,15
98,50,91,45,11
124,85,15,12,34
3,37,84,61,1
16,153,50,43,39
3,102,21,10,59
39,12,45,6,13
143,27,12,57,72
70,48,21,24,2
7,30,87,1,33
51,130,11,43,105
26,36,19,15,32
3,65,192,40,79
28,40,68,16,17
64,33,76,39,5
51,11,62,66,2
32,31,49,37,12
103,38,16,16,35
4,55,22,17,42
86,82,10,85,3
5,17,54,46,46
26,24,12,86,29
6,113,97,7,2
5,52,3,7,16
104,58,2,59,0
7,11,1,33,22
30,58,121,2,35
11,18,96,6,25
38,47,19,10,14
108,34,34,1,21
16,20,57,56,4
114,66,7,7,26
17,27,1,5,58
0,126,26,77,108
55,28,22,24,4
12,14,14,43,40
45,74,14,7,27
35,10,34,42,17
44,30,11,28,5
2,37,23,4,0
114,23,8,40,25
14,80,57,4,95
66,5,13,19,0
107,77,95,43,36
35,37,58,92,7
8,21,147,1,2
56,18,59,69,34
0,7,73,1,55
127,195,5,0,18
45,114,55,5,0
137,88,32,56,89
59,50,34,29,19
46,23,12,3,9
102,37,19,64,24
60,12,7,42,0
67,9,31,4,0
14,52,5,2,14
5,48,58,38,7
36,51,46,73,10
5,109,25,9,41
28,14,45,5,47
40,4,8,50,71
10,45,15,18,2
57,45,17,42,20
93,38,9,3,64
22,61,43,91,21
23,49,25,36,68
31,57,43,8,23
36,24,62,14,75
48,11,7,32,59
60,50,40,36,13
23,62,26,0,30
13,53,102,3,5
55,46,31,48,52
79,35,6,72,95
7,28,12,57,37
22,64,3,83,7
60,27,32,34,15
29,84,22,74,20
34,3,39,47,65
38,57,21,19,24
66,10,22,25,50
8,58,9,29,60
29,70,27,59,11
144,22,21,24,16
107,7,36,16,16
55,134,60,12,16
139,48,7,123,14
20,0,31,35,18
67,89,77,38,38
39,44,29,46,9
8,38,14,24,20
7,7,99,0,2
127,25,29,92,37
57,102,82,79,8
117,12,6,22,25
8,7,28,15,55
110,11,76,65,10
17,94,71,34,55
49,65,62,24,75
32,58,96,70,33
15,46,15,5,39
13,55,16,169,49
20,49,38,20,12
19,9,9,52,12
3,49,14,50,82
119,1,51,89,11
8,15,4,1,111
3,6,22,4,10
10,115,55,39,29
83,0,128,59,0
66,119,2,18,73
88,24,0,4,37
32,59,31,38,59
80,0,14,20,4
64,56,19,7,42
26,176,63,47,133
232,13,7,5,7
20,109,52,81,31
8,121,0,5,15
83,49,43,65,16
23,36,40,48,5
88,105,66,16,0
100,12,66,89,61
39,15,74,118,63
37,64,39,3,1
49,20,71,18,3
0,95,16,34,15
11,32,57,10,12
8,41,28,9,39
23,25,6,11,38
102,98,1,10,9
63,73,10,12,24
45,71,18,86,12
47,4,84,28,28
12,79,51,43,31
4,44,24,17,4
1,17,12,30,35
110,87,124,79,24
13,35,3,75,102
22,18,15,70,37
14,95,14,55,1
13,36,16,123,7
42,114,92,18,4
61,16,51,0,32
51,58,15,14,16
60,31,33,68,14
77,18,25,148,9
23,73,80,11,17
143,71,157,32,38
1,134,136,49,10
31,15,91,88,13
86,25,58,50,4
19,70,21,1,49
120,5,6,13,36
79,2,2,92,44
19,37,31,5,32
22,27,61,22,0
48,114,71,112,24
50,69,114,89,15
19,43,23,33,15
33,63,17,71,17
30,34,15,28,21
6,40,19,2,3
16,10,77,51,15
25,4,25,52,36
45,52,3,13,17
32,33,81,35,26
180,41,78,42,39
84,55,10,7,1
7,3,0,41,9
61,21,1,133,14
109,138,79,24,21
62,59,70,45,23
20,72,40,11,1
140,61,3,3,7
39,115,7,35,3
13,51,12,112,12
16,17,29,47,41
25,22,13,35,28
79,64,18,67,55
35,41,42,25,98
95,95,3,1,3
100,33,116,26,1
7,14,5,11,49
27,0,1,65,33
36,5,21,59,31
30,115,18,11,27
6,94,3,40,36
12,87,61,26,20
17,6,10,71,42
3,80,6,3,33
39,61,12,79,4
62,28,49,13,20
23,1,93,57,37
68,12,26,18,102
15,62,32,17,20
21,23,26,31,95
55,54,64,20,39
167,16,117,6,2
44,32,40,59,12
93,48,92,18,8
54,16,63,0,44
34,3,89,27,10
2,41,103,30,5
22,71,7,10,46
14,5,33,10,9
131,4,119,31,11
30,124,28,5,82
82,11,60,21,0
113,152,38,123,21
13,56,39,34,24
21,77,2,10,69
38,14,1,64,12
45,10,77,48,19
12,63,33,18,19
16,72,52,0,26
40,17,73,6,11
68,41,109,11,1
12,42,5,29,28
84,75,21,68,29
25,48,177,137,31
28,30,6,67,34
34,30,31,92,2
69,13,26,13,108
21,23,5,63,43
70,7,25,12,44
46,19,167,47,45
73,26,39,5,51
78,40,114,55,42
95,23,19,80,31
8,21,7,45,32
2,26,71,47,3
39,47,58,45,6
9,80,30,39,12
13,16,101,4,32
31,36,123,16,76
12,37,1,31,6
5,55,14,16,104
4,15,5,24,48
75,58,18,2,29
45,143,78,103,18
119,13,64,18,21
94,79,65,14,111
59,30,116,1,59
54,33,10,24,27
94,10,111,100,3
62,34,78,11,3
22,20,46,9,17
26,6,2,151,18
27,43,53,38,95
123,12,85,3,17
87,43,10,1,103
4,67,6,12,0
23,26,51,2,7
2,6,15,20,2
3,2,16,52,17
31,116,45,1,54
5,171,32,25,36
43,57,94,1,25
22,5,85,44,2
16,29,26,41,7
124,40,17,18,20
51,116,51,89,54
137,68,0,20,39
29,25,14,21,6
57,84,60,51,2
16,27,15,58,20
74,151,34,34,20
48,80,72,38,20
106,80,17,127,39
5,28,12,12,20
64,21,32,11,11
37,31,14,27,0
66,149,66,3,81
31,159,57,5,4
69,67,12,6,38
74,75,35,187,26
66,52,4,16,12
65,107,30,12,0
2,111,119,3,28
40,10,14,16,49
60,23,59,22,6
63,0,13,17,24
88,6,7,11,2
13,47,92,1,9
93,44,27,110,6
61,114,119,5,66
68,85,89,67,23
21,60,68,30,30
75,8,27,6,46
21,8,47,53,43
78,8,20,2,58
9,20,67,4,0
44,85,4,72,65
19,8,15,33,19
121,29,15,42,7
2,118,55,63,10
12,56,8,7,71
71,16,20,3,1
41,54,31,16,6
50,17,48,37,47
134,64,1,80,162
14,22,27,70,147
58,2,84,34,12
63,91,1,2,7
30,33,15,4,49
112,27,59,81,88
42,28,1,2,66
131,52,13,1,4
148,24,8,43,20
97,18,31,20,65
29,5,60,20,10
7,117,29,6,15
64,122,97,21,139
5,122,19,51,1
21,7,23,35,13
38,68,59,84,6
26,72,13,0,77
45,1,79,37,43
51,36,7,49,9
8,6,122,100,0
56,13,29,6,7
60,16,8,5,6
51,15,10,18,12
82,39,12,3,141
10,9,32,24,25
70,6,77,7,5
35,50,69,5,23
52,93,26,13,19
9,24,72,92,15
53,93,60,7,25
8,50,88,50,0
41,22,71,50,5
15,129,48,28,33
70,146,83,7,4
74,4,1,8,27
24,52,5,95,12
97,92,123,13,31
59,42,20,26,12
29,156,7,49,33
0,48,29,1,11
12,90,0,29,27
25,57,19,35,3
3,1,18,24,55
99,78,57,19,20
53,16,34,28,66
20,0,122,89,11
12,17,110,96,37
7,105,27,5,26
2,30,63,44,1
8,14,48,42,24
59,63,86,17,10
179,115,11,1,59
76,38,6,161,88
126,0,26,23,24
11,40,51,9,25
46,5,29,43,6
67,41,12,62,26
57,0,8,23,44
90,101,123,64,25
8,2,36,27,15
40,3,31,12,3
5,73,40,1,85
46,37,28,17,20
81,48,6,4,18
49,32,128,4,28
24,58,64,130,14
94,54,74,13,0
29,2,62,61,18
129,7,20,26,42
171,2,113,75,4
61,55,129,42,10
17,24,58,45,30
15,43,0,50,20
23,54,28,17,0
6,39,1,135,3
50,10,0,1,26
119,9,13,10,17
39,0,18,33,66
31,47,1,44,17
48,3,0,2,7
5,93,43,12,42
11,43,13,15,36
87,68,29,1,0
73,1,12,5,6
78,7,112,134,52
74,45,66,52,117
43,75,24,8,47
111,67,122,43,1
38,27,9,27,29
52,90,7,9,13
140,58,17,24,8
36,4,6,42,5
186,15,0,7,76
47,144,11,65,8
13,62,30,5,0
27,0,17,9,75
199,23,7,46,76
1,63,1,49,98
71,92,67,5,4
63,22,35,29,24
40,55,4,23,3
28,23,13,26,69
72,52,145,2,5
122,30,85,37,6
155,8,135,7,33
53,52,70,9,34
41,1,4,8,4
3,14,45,42,3
52,29,45,18,33
19,106,2,39,72
137,10,49,38,16
3,22,18,106,2
63,57,58,64,3
47,29,1,2,31
9,5,59,11,20
164,61,57,116,16
93,32,33,22,31
22,82,22,9,56
196,49,71,56,89
5,9,47,36,4
116,13,7,13,66
63,5,16,43,0
37,43,7,6,27
245,189,45,35,5
146,30,14,13,75
33,218,104,30,81
14,33,93,26,52
5,0,72,8,5
29,114,59,8,10
70,42,13,31,2
18,110,35,35,59
146,39,35,12,26
47,18,27,135,38
28,11,147,40,46
33,62,93,67,10
56,143,3,2,22
21,0,32,116,18
116,58,4,32,16
53,16,32,0,34
1,1,86,51,29
117,93,138,77,25
39,88,84,70,7
85,12,55,5,3
5,31,108,27,74
103,14,44,55,5
35,29,75,14,13
41,123,48,3,0
7,66,45,71,17
125,21,56,24,65
1,132,15,70,85
47,17,58,45,27
175,17,86,70,22
10,15,54,47,24
56,96,96,6,28
48,39,26,83,57
12,23,56,34,36
26,50,10,14,137
8,75,109,7,23
22,12,32,0,45
23,7,14,9,10
49,24,76,67,110
156,51,31,82,62
131,25,11,19,84
178,34,14,56,54
0,37,23,68,10
23,3,45,11,17
85,12,9,8,2
20,9,31,27,24
71,146,25,7,14
11,12,30,9,28
80,50,30,14,15
24,14,68,25,29
33,43,98,9,0
39,27,14,34,4
8,42,6,41,16
1,14,70,13,57
80,54,4,5,31
107,35,9,12,71
124,55,5,4,14
23,0,9,27,2
122,47,102,73,20
42,32,92,9,25
0,62,139,39,67
68,63,98,18,43
41,76,77,50,40
108,4,17,55,6
198,5,96,4,22
15,97,10,24,1
153,11,2,61,29
57,0,14,0,53
2,68,31,17,10
36,12,83,60,9
24,50,5,17,79
81,0,48,12,34
124,50,67,88,64
14,10,75,22,24
82,52,126,23,18
9,68,59,5,69
49,86,48,48,72
29,10,24,1,8
23,23,16,6,31
56,63,17,9,59
68,32,10,82,25
59,7,61,174,59
170,20,31,41,4
28,4,102,52,28
19,64,109,45,12
54,4,140,36,73
99,23,25,12,43
126,29,66,4,30
49,5,45,60,97
4,38,55,1,14
41,104,10,28,4
1,13,40,62,8
92,35,3,0,57
8,168,15,51,58
10,67,57,5,12
11,12,58,48,3
52,144,4,43,0
34,92,82,40,41
116,30,18,25,25
72,4,80,89,12
0,19,6,64,37
137,42,75,15,37
16,29,32,2,10
22,31,2,90,8
108,18,94,28,52
33,16,64,18,66
46,29,47,42,7
33,34,43,129,110
28,1,116,107,1
47,14,2,11,5
4,36,27,13,1
57,59,37,65,93
17,57,12,13,1
11,38,90,16,11
6,114,31,22,4
56,48,109,17,1
15,64,105,61,17
43,10,90,24,6
174,0,72,19,20
61,100,40,35,4
4,52,6,42,4
164,47,1,88,41
6,47,36,10,24
4,59,24,26,9
76,2,9,12,39
31,107,153,10,105
87,82,21,43,17
57,54,25,14,42
7,25,11,2,13
113,85,1,2,21
15,39,96,28,44
121,31,5,30,32
22,51,88,30,43
55,22,87,15,16
98,75,35,24,1
93,35,6,84,0
33,6,5,74,20
14,5,92,37,28
13,63,84,0,26
76,10,49,26,88
9,14,11,57,53
7,18,6,9,27
85,1,46,2,24
61,17,47,43,0
57,97,68,28,0
42,83,62,37,14
114,100,33,3,6
54,45,50,19,20
18,62,51,87,53
4,110,37,19,17
26,88,0,65,47
60,25,32,5,82
9,0,40,12,23
39,112,45,21,4
28,17,9,67,2
85,5,2,12,37
19,28,55,15,62
51,11,98,25,13
41,23,34,15,9
29,42,10,77,44
1,5,102,41,76
6,41,49,30,5
50,81,20,17,43
26,15,25,11,30
68,80,106,39,26
32,62,5,48,12
52,69,12,4,47
21,97,31,132,18
61,16,47,25,35
37,96,139,6,14
35,84,10,2,50
190,28,156,92,18
5,35,54,31,82
79,98,22,65,88
1,12,126,41,33
44,71,46,22,76
30,22,36,13,46
30,8,8,27,67
19,56,25,33,0
19,150,15,52,29
34,99,4,5,22
102,126,38,9,36
58,47,50,9,7
0,75,13,40,7
33,19,13,25,22
64,116,23,41,54
68,86,119,23,38
5,35,2,35,93
66,36,38,43,72
0,84,8,16,10
71,45,31,8,85
153,14,8,6,15
0,40,55,0,16
28,26,26,105,50
41,2,49,36,27
25,10,12,45,2
71,24,58,56,2
61,45,55,28,8
11,60,11,45,0
21,121,10,1,15
88,64,41,2,19
69,78,15,41,35
26,84,0,35,24
11,54,2,8,45
140,52,29,8,21
107,35,22,19,7
15,41,25,84,51
81,50,65,14,32
25,2,64,10,10
37,58,14,30,13
15,33,1,70,3
145,77,80,18,30
40,104,42,11,30
41,90,36,15,33
0,148,87,62,42
43,68,4,6,6
94,20,49,70,66
35,33,94,50,12
18,31,30,15,6
53,11,43,109,8
66,15,48,1,47
45,205,38,1,35
52,117,44,19,0
6,47,16,5,14
0,62,15,50,91
